#! md-business:test-spec-tsv/v1
# タイトル: 会議室予約 検証シート（見本・大きめ）
# 文書番号: EXAMPLE-SHEET-0001
# 対象: 会議室予約サービス 1.0.0（架空）
# 版: 1.0.0
# ステータス: 実施中
#@ note これは見本です。結果 列の OK / NG は色分けの見え方を確かめるために置いた値で、誰かが確かめた記録ではありません。
#@ note No. 列は計算列（rowNumber）です。行を足しても番号は自動で振り直され、この列には打ち込めません。
#@ note 控えにしてある行が 2 件あります。表には出ませんが、ファイルには残っています。
#@ note 300 行あります。転がしたときの追従・下端の行の当たり判定・選択範囲の色・Ctrl+F の当たり方を見てください。
#@ rowid _id
#@ computed No. = rowNumber()
#@ style 結果 OK=#e7f6ec NG=#fcebec 保留=#fdf3e2
#@ colwidth 0=48 1=96 2=280 3=320 4=320 5=88 6=200 7=200
#@ align 1=center 5=center
#@ hidden r4b100000508f r4b1000010d2f
No.:number!	区分	項目:multiline!	手順:multiline!	期待結果:multiline!	結果:enum(OK|NG|保留|未実施)!	関連Issue:url	備考:multiline	_id
12	繰り返し	途中の週が埋まっている	1. 6 回のうち 1 週だけ埋まっている日程を選ぶ\n2. 確定を押す	埋まっている週を飛ばして作り、飛ばした日を知らせる	NG	https://example.com/issues/211	条件によっては通ってしまう	r4b100000159d
13	表示端末	空いている部屋	1. 空いている部屋の端末を見る	次の予約までの残り時間が出て、緑に光る	未実施		翌日まで待つ必要がある	r4b1000001794
14	権限	部屋をやめる	1. 使わなくなった部屋を止める\n2. 空き検索を開く	検索に出なくなる。過去の予約は残る	OK			r4b100000198b
15	表示	同じ時刻の予約が並ぶ	1. 同じ時刻に別々の部屋を 9 件予約する\n2. 一覧を開く	部屋の順で並び、時刻は 1 回だけ出る	保留		確かめきれていない	r4b1000001b82
16	異常系	戻るで二重に確定	1. 確定する\n2. 戻って、もう一度確定を押す	2 件目はできない	OK			r4b1000001d79
17	空き検索	15 分刻みでない時刻	1. 開始を 16:07 にする\n2. 検索を押す	検索できず、15 分刻みだと出る	OK			r4b1000001f70
18	予約	最長 4 時間を超える	1. 17:00〜22:00 を選ぶ\n2. 確定を押す	確定できず、最長 4 時間だと出る	OK			r4b1000002167
19	取り消し	開始した予約	1. 開始時刻を過ぎた予約を開く\n2. 取り消しを押す	取り消せず、理由が出る	NG	https://example.com/issues/218	直っていない	r4b100000235e
20	繰り返し	上限を超える回数	1. 繰り返しに 80 回を入れる\n2. 確定を押す	作れず、上限 26 回だと出る	OK			r4b1000002555
21	表示端末	日付をまたぐ	1. 端末を開いたまま 0 時を越える	翌日の一覧に入れ替わる	保留		確かめきれていない	r4b100000274c
22	権限	一般の人が部屋を触る	1. 一般の権限で総務の画面を開く	開けない	OK			r4b1000002943
23	表示	画面が狭いとき	1. 窓を狭くする	表が横に転がせる。列が重ならない	OK			r4b1000002b3a
24	異常系	時計がずれた端末	1. 端末の時計を 9 分ずらす\n2. 予約する	サーバー側の時刻で判定される	未実施			r4b1000002d31
25	空き検索	終了が開始より前	1. 開始を 15:00、終了を 14:00 にする\n2. 検索を押す	検索できず、順序が逆だと出る	OK			r4b1000002f28
26	予約	同じ枠を 2 つの画面から	1. 2 つの画面で同じ枠を開く\n2. 続けて確定を押す	後から押した側だけが「先に取られました」になる	OK			r4b100000311f
27	取り消し	代理で取り消す	1. 総務の権限で他人の予約を開く\n2. 理由を入れて取り消す	取り消され、誰が取り消したかが残る	NG	https://example.com/issues/226	条件によっては通ってしまう	r4b1000003316
28	繰り返し	まとめて取り消す	1. 繰り返しの 1 件を開く\n2. まとめて取り消しを選ぶ	同じまとまりの残り全部が取り消される	未実施		翌日まで待つ必要がある	r4b100000350d
29	表示端末	通信が切れる	1. 端末の通信を切る\n2. 5 分待つ	「確認中」と出て、古い予定を出したままにしない	OK			r4b1000003704
30	権限	貸し出さない時間帯を入れる	1. 清掃の時間帯を入れる\n2. 空き検索を開く	その時間帯は空きに出なくなる	保留		確かめきれていない	r4b10000038fb
31	表示	文字を大きくする	1. 表示の倍率を上げる	行の高さが揃ったまま大きくなる	OK			r4b1000003af2
32	異常系	同じ人が同じ時刻に 2 部屋	1. 同じ時刻に別の部屋を 2 件予約する	できる。人の重複は見ない	OK			r4b1000003ce9
33	空き検索	空きが無い日	1. 全部埋まっている日を選ぶ\n2. 検索を押す	「空きがありません」と出て、前後の日を勧める	OK			r4b1000003ee0
34	予約	貸し出さない時間帯	1. 清掃で止めている時間帯を選ぶ\n2. 確定を押す	そもそも空きとして出ない	NG	https://example.com/issues/233	直っていない	r4b10000040d7
35	取り消し	取り消した枠を取り直す	1. 取り消した直後に同じ枠を探す\n2. 確定を押す	空きとして出て、取り直せる	OK			r4b10000042ce
36	繰り返し	1 件だけ取り消す	1. 繰り返しの 1 件を開く\n2. この回だけ取り消しを選ぶ	その回だけ消え、残りは残る	保留		確かめきれていない	r4b10000044c5
37	表示端末	端末の電池	1. 電池式の端末を 4 分放置する	総務の画面に残量が出る	OK			r4b10000046bc
38	権限	既に予約がある時間帯を止める	1. 予約が入っている時間帯を止める	止められず、先に予約があると出る	OK			r4b10000048b3
39	表示	暗い配色	1. 暗い配色に切り替える	色分けの意味が変わらず、文字が読める	未実施			r4b1000004aaa
40	異常系	長い理由	1. 取り消しの理由に全角 70 文字を入れる\n2. 取り消す	保存される。一覧では省いて出す	OK			r4b1000004ca1
41	空き検索	4 人で 13 時台を探す	1. 人数に 4 を入れる\n2. 13:00〜14:00 を選ぶ\n3. 検索を押す	定員 4 人以上で空いている部屋だけが出る	OK			r4b1000004e98
42	予約	14 時台を押さえる（言い回しを直したので控えにした）	1. 空き枠 14:00〜15:00 を選ぶ\n2. 会議の名前を入れる\n3. 確定を押す	予約番号が出て、自分の予約一覧に並ぶ	NG	https://example.com/issues/241	条件によっては通ってしまう	r4b100000508f
43	取り消し	自分の予約を取り消す	1. 自分の予約を開く\n2. 取り消しを押す	一覧から消え、その枠が空きに戻る	未実施		翌日まで待つ必要がある	r4b1000005286
44	繰り返し	毎週 11 回	1. 繰り返しに毎週・11 回を選ぶ\n2. 確定を押す	11 件できて、まとめて一覧に出る	OK			r4b100000547d
45	表示端末	いま使われている部屋	1. 使用中の部屋の端末を見る	会議の名前と終わる時刻が出て、赤く光る	保留		確かめきれていない	r4b1000005674
46	権限	部屋を足す	1. 総務の画面で部屋を 1 つ足す\n2. 空き検索を開く	すぐに検索の対象になる	OK			r4b100000586b
47	表示	長い会議の名前	1. 全角 70 文字の名前で予約する\n2. 一覧を開く	一覧では折り返さず、末尾を省いて出す	OK			r4b1000005a62
48	異常系	通信が切れたまま確定	1. 通信を切る\n2. 確定を押す	失敗が出る。押した内容は画面に残る	OK			r4b1000005c59
49	空き検索	1 階で絞る	1. 階に 1 を入れる\n2. 検索を押す	1 階の部屋だけが出る。他の階は出ない	NG	https://example.com/issues/248	直っていない	r4b1000005e50
50	予約	会議の名前が空	1. 名前を入れずに確定を押す	確定できず、名前が要ると出る	OK			r4b1000006047
51	取り消し	他人の予約	1. 他人の予約を開く	取り消しの操作が出ない	保留		確かめきれていない	r4b100000623e
52	繰り返し	途中の週が埋まっている	1. 10 回のうち 1 週だけ埋まっている日程を選ぶ\n2. 確定を押す	埋まっている週を飛ばして作り、飛ばした日を知らせる	OK			r4b1000006435
53	表示端末	空いている部屋	1. 空いている部屋の端末を見る	次の予約までの残り時間が出て、緑に光る	OK			r4b100000662c
54	権限	部屋をやめる	1. 使わなくなった部屋を止める\n2. 空き検索を開く	検索に出なくなる。過去の予約は残る	未実施			r4b1000006823
55	表示	同じ時刻の予約が並ぶ	1. 同じ時刻に別々の部屋を 4 件予約する\n2. 一覧を開く	部屋の順で並び、時刻は 1 回だけ出る	OK			r4b1000006a1a
56	異常系	戻るで二重に確定	1. 確定する\n2. 戻って、もう一度確定を押す	2 件目はできない	OK			r4b1000006c11
57	空き検索	15 分刻みでない時刻	1. 開始を 11:07 にする\n2. 検索を押す	検索できず、15 分刻みだと出る	NG	https://example.com/issues/256	条件によっては通ってしまう	r4b1000006e08
58	予約	最長 4 時間を超える	1. 12:00〜17:00 を選ぶ\n2. 確定を押す	確定できず、最長 4 時間だと出る	未実施		翌日まで待つ必要がある	r4b1000006fff
59	取り消し	開始した予約	1. 開始時刻を過ぎた予約を開く\n2. 取り消しを押す	取り消せず、理由が出る	OK			r4b10000071f6
60	繰り返し	上限を超える回数	1. 繰り返しに 60 回を入れる\n2. 確定を押す	作れず、上限 26 回だと出る	保留		確かめきれていない	r4b10000073ed
61	表示端末	日付をまたぐ	1. 端末を開いたまま 0 時を越える	翌日の一覧に入れ替わる	OK			r4b10000075e4
62	権限	一般の人が部屋を触る	1. 一般の権限で総務の画面を開く	開けない	OK			r4b10000077db
63	表示	画面が狭いとき	1. 窓を狭くする	表が横に転がせる。列が重ならない	OK			r4b10000079d2
64	異常系	時計がずれた端末	1. 端末の時計を 4 分ずらす\n2. 予約する	サーバー側の時刻で判定される	NG	https://example.com/issues/263	直っていない	r4b1000007bc9
65	空き検索	終了が開始より前	1. 開始を 10:00、終了を 9:00 にする\n2. 検索を押す	検索できず、順序が逆だと出る	OK			r4b1000007dc0
66	予約	同じ枠を 2 つの画面から	1. 2 つの画面で同じ枠を開く\n2. 続けて確定を押す	後から押した側だけが「先に取られました」になる	保留		確かめきれていない	r4b1000007fb7
67	取り消し	代理で取り消す	1. 総務の権限で他人の予約を開く\n2. 理由を入れて取り消す	取り消され、誰が取り消したかが残る	OK			r4b10000081ae
68	繰り返し	まとめて取り消す	1. 繰り返しの 1 件を開く\n2. まとめて取り消しを選ぶ	同じまとまりの残り全部が取り消される	OK			r4b10000083a5
69	表示端末	通信が切れる	1. 端末の通信を切る\n2. 9 分待つ	「確認中」と出て、古い予定を出したままにしない	未実施			r4b100000859c
70	権限	貸し出さない時間帯を入れる	1. 清掃の時間帯を入れる\n2. 空き検索を開く	その時間帯は空きに出なくなる	OK			r4b1000008793
71	表示	文字を大きくする	1. 表示の倍率を上げる	行の高さが揃ったまま大きくなる	OK			r4b100000898a
72	異常系	同じ人が同じ時刻に 2 部屋	1. 同じ時刻に別の部屋を 2 件予約する	できる。人の重複は見ない	NG	https://example.com/issues/271	条件によっては通ってしまう	r4b1000008b81
73	空き検索	空きが無い日	1. 全部埋まっている日を選ぶ\n2. 検索を押す	「空きがありません」と出て、前後の日を勧める	未実施		翌日まで待つ必要がある	r4b1000008d78
74	予約	貸し出さない時間帯	1. 清掃で止めている時間帯を選ぶ\n2. 確定を押す	そもそも空きとして出ない	OK			r4b1000008f6f
75	取り消し	取り消した枠を取り直す	1. 取り消した直後に同じ枠を探す\n2. 確定を押す	空きとして出て、取り直せる	保留		確かめきれていない	r4b1000009166
76	繰り返し	1 件だけ取り消す	1. 繰り返しの 1 件を開く\n2. この回だけ取り消しを選ぶ	その回だけ消え、残りは残る	OK			r4b100000935d
77	表示端末	端末の電池	1. 電池式の端末を 8 分放置する	総務の画面に残量が出る	OK			r4b1000009554
78	権限	既に予約がある時間帯を止める	1. 予約が入っている時間帯を止める	止められず、先に予約があると出る	OK			r4b100000974b
79	表示	暗い配色	1. 暗い配色に切り替える	色分けの意味が変わらず、文字が読める	NG	https://example.com/issues/278	直っていない	r4b1000009942
80	異常系	長い理由	1. 取り消しの理由に全角 50 文字を入れる\n2. 取り消す	保存される。一覧では省いて出す	OK			r4b1000009b39
81	空き検索	4 人で 17 時台を探す	1. 人数に 4 を入れる\n2. 17:00〜18:00 を選ぶ\n3. 検索を押す	定員 4 人以上で空いている部屋だけが出る	保留		確かめきれていない	r4b1000009d30
82	予約	9 時台を押さえる	1. 空き枠 9:00〜10:00 を選ぶ\n2. 会議の名前を入れる\n3. 確定を押す	予約番号が出て、自分の予約一覧に並ぶ	OK			r4b1000009f27
83	取り消し	自分の予約を取り消す	1. 自分の予約を開く\n2. 取り消しを押す	一覧から消え、その枠が空きに戻る	OK			r4b100000a11e
84	繰り返し	毎週 6 回	1. 繰り返しに毎週・6 回を選ぶ\n2. 確定を押す	6 件できて、まとめて一覧に出る	未実施			r4b100000a315
85	表示端末	いま使われている部屋	1. 使用中の部屋の端末を見る	会議の名前と終わる時刻が出て、赤く光る	OK			r4b100000a50c
86	権限	部屋を足す	1. 総務の画面で部屋を 1 つ足す\n2. 空き検索を開く	すぐに検索の対象になる	OK			r4b100000a703
87	表示	長い会議の名前	1. 全角 50 文字の名前で予約する\n2. 一覧を開く	一覧では折り返さず、末尾を省いて出す	NG	https://example.com/issues/286	条件によっては通ってしまう	r4b100000a8fa
88	異常系	通信が切れたまま確定	1. 通信を切る\n2. 確定を押す	失敗が出る。押した内容は画面に残る	未実施		翌日まで待つ必要がある	r4b100000aaf1
89	空き検索	1 階で絞る	1. 階に 1 を入れる\n2. 検索を押す	1 階の部屋だけが出る。他の階は出ない	OK			r4b100000ace8
90	予約	会議の名前が空	1. 名前を入れずに確定を押す	確定できず、名前が要ると出る	保留		確かめきれていない	r4b100000aedf
91	取り消し	他人の予約	1. 他人の予約を開く	取り消しの操作が出ない	OK			r4b100000b0d6
92	繰り返し	途中の週が埋まっている	1. 5 回のうち 1 週だけ埋まっている日程を選ぶ\n2. 確定を押す	埋まっている週を飛ばして作り、飛ばした日を知らせる	OK			r4b100000b2cd
93	表示端末	空いている部屋	1. 空いている部屋の端末を見る	次の予約までの残り時間が出て、緑に光る	OK			r4b100000b4c4
94	権限	部屋をやめる	1. 使わなくなった部屋を止める\n2. 空き検索を開く	検索に出なくなる。過去の予約は残る	NG	https://example.com/issues/293	直っていない	r4b100000b6bb
95	表示	同じ時刻の予約が並ぶ	1. 同じ時刻に別々の部屋を 8 件予約する\n2. 一覧を開く	部屋の順で並び、時刻は 1 回だけ出る	OK			r4b100000b8b2
96	異常系	戻るで二重に確定	1. 確定する\n2. 戻って、もう一度確定を押す	2 件目はできない	保留		確かめきれていない	r4b100000baa9
97	空き検索	15 分刻みでない時刻	1. 開始を 15:07 にする\n2. 検索を押す	検索できず、15 分刻みだと出る	OK			r4b100000bca0
98	予約	最長 4 時間を超える	1. 16:00〜21:00 を選ぶ\n2. 確定を押す	確定できず、最長 4 時間だと出る	OK			r4b100000be97
99	取り消し	開始した予約	1. 開始時刻を過ぎた予約を開く\n2. 取り消しを押す	取り消せず、理由が出る	未実施			r4b100000c08e
100	繰り返し	上限を超える回数	1. 繰り返しに 40 回を入れる\n2. 確定を押す	作れず、上限 26 回だと出る	OK			r4b100000c285
101	表示端末	日付をまたぐ	1. 端末を開いたまま 0 時を越える	翌日の一覧に入れ替わる	OK			r4b100000c47c
102	権限	一般の人が部屋を触る	1. 一般の権限で総務の画面を開く	開けない	NG	https://example.com/issues/301	条件によっては通ってしまう	r4b100000c673
103	表示	画面が狭いとき	1. 窓を狭くする	表が横に転がせる。列が重ならない	未実施		翌日まで待つ必要がある	r4b100000c86a
104	異常系	時計がずれた端末	1. 端末の時計を 8 分ずらす\n2. 予約する	サーバー側の時刻で判定される	OK			r4b100000ca61
105	空き検索	終了が開始より前	1. 開始を 14:00、終了を 13:00 にする\n2. 検索を押す	検索できず、順序が逆だと出る	保留		確かめきれていない	r4b100000cc58
106	予約	同じ枠を 2 つの画面から	1. 2 つの画面で同じ枠を開く\n2. 続けて確定を押す	後から押した側だけが「先に取られました」になる	OK			r4b100000ce4f
107	取り消し	代理で取り消す	1. 総務の権限で他人の予約を開く\n2. 理由を入れて取り消す	取り消され、誰が取り消したかが残る	OK			r4b100000d046
108	繰り返し	まとめて取り消す	1. 繰り返しの 1 件を開く\n2. まとめて取り消しを選ぶ	同じまとまりの残り全部が取り消される	OK			r4b100000d23d
109	表示端末	通信が切れる	1. 端末の通信を切る\n2. 4 分待つ	「確認中」と出て、古い予定を出したままにしない	NG	https://example.com/issues/308	直っていない	r4b100000d434
110	権限	貸し出さない時間帯を入れる	1. 清掃の時間帯を入れる\n2. 空き検索を開く	その時間帯は空きに出なくなる	OK			r4b100000d62b
111	表示	文字を大きくする	1. 表示の倍率を上げる	行の高さが揃ったまま大きくなる	保留		確かめきれていない	r4b100000d822
112	異常系	同じ人が同じ時刻に 2 部屋	1. 同じ時刻に別の部屋を 2 件予約する	できる。人の重複は見ない	OK			r4b100000da19
113	空き検索	空きが無い日	1. 全部埋まっている日を選ぶ\n2. 検索を押す	「空きがありません」と出て、前後の日を勧める	OK			r4b100000dc10
114	予約	貸し出さない時間帯	1. 清掃で止めている時間帯を選ぶ\n2. 確定を押す	そもそも空きとして出ない	未実施			r4b100000de07
115	取り消し	取り消した枠を取り直す	1. 取り消した直後に同じ枠を探す\n2. 確定を押す	空きとして出て、取り直せる	OK			r4b100000dffe
116	繰り返し	1 件だけ取り消す	1. 繰り返しの 1 件を開く\n2. この回だけ取り消しを選ぶ	その回だけ消え、残りは残る	OK			r4b100000e1f5
117	表示端末	端末の電池	1. 電池式の端末を 12 分放置する	総務の画面に残量が出る	NG	https://example.com/issues/316	条件によっては通ってしまう	r4b100000e3ec
118	権限	既に予約がある時間帯を止める	1. 予約が入っている時間帯を止める	止められず、先に予約があると出る	未実施		翌日まで待つ必要がある	r4b100000e5e3
119	表示	暗い配色	1. 暗い配色に切り替える	色分けの意味が変わらず、文字が読める	OK			r4b100000e7da
120	異常系	長い理由	1. 取り消しの理由に全角 30 文字を入れる\n2. 取り消す	保存される。一覧では省いて出す	保留		確かめきれていない	r4b100000e9d1
121	空き検索	4 人で 12 時台を探す	1. 人数に 4 を入れる\n2. 12:00〜13:00 を選ぶ\n3. 検索を押す	定員 4 人以上で空いている部屋だけが出る	OK			r4b100000ebc8
122	予約	13 時台を押さえる	1. 空き枠 13:00〜14:00 を選ぶ\n2. 会議の名前を入れる\n3. 確定を押す	予約番号が出て、自分の予約一覧に並ぶ	OK			r4b100000edbf
123	取り消し	自分の予約を取り消す	1. 自分の予約を開く\n2. 取り消しを押す	一覧から消え、その枠が空きに戻る	OK			r4b100000efb6
124	繰り返し	毎週 10 回	1. 繰り返しに毎週・10 回を選ぶ\n2. 確定を押す	10 件できて、まとめて一覧に出る	NG	https://example.com/issues/323	直っていない	r4b100000f1ad
125	表示端末	いま使われている部屋	1. 使用中の部屋の端末を見る	会議の名前と終わる時刻が出て、赤く光る	OK			r4b100000f3a4
126	権限	部屋を足す	1. 総務の画面で部屋を 1 つ足す\n2. 空き検索を開く	すぐに検索の対象になる	保留		確かめきれていない	r4b100000f59b
127	表示	長い会議の名前	1. 全角 30 文字の名前で予約する\n2. 一覧を開く	一覧では折り返さず、末尾を省いて出す	OK			r4b100000f792
128	異常系	通信が切れたまま確定	1. 通信を切る\n2. 確定を押す	失敗が出る。押した内容は画面に残る	OK			r4b100000f989
129	空き検索	1 階で絞る	1. 階に 1 を入れる\n2. 検索を押す	1 階の部屋だけが出る。他の階は出ない	未実施			r4b100000fb80
130	予約	会議の名前が空	1. 名前を入れずに確定を押す	確定できず、名前が要ると出る	OK			r4b100000fd77
131	取り消し	他人の予約	1. 他人の予約を開く	取り消しの操作が出ない	OK			r4b100000ff6e
132	繰り返し	途中の週が埋まっている	1. 9 回のうち 1 週だけ埋まっている日程を選ぶ\n2. 確定を押す	埋まっている週を飛ばして作り、飛ばした日を知らせる	NG	https://example.com/issues/331	条件によっては通ってしまう	r4b1000010165
133	表示端末	空いている部屋	1. 空いている部屋の端末を見る	次の予約までの残り時間が出て、緑に光る	未実施		翌日まで待つ必要がある	r4b100001035c
134	権限	部屋をやめる	1. 使わなくなった部屋を止める\n2. 空き検索を開く	検索に出なくなる。過去の予約は残る	OK			r4b1000010553
135	表示	同じ時刻の予約が並ぶ	1. 同じ時刻に別々の部屋を 12 件予約する\n2. 一覧を開く	部屋の順で並び、時刻は 1 回だけ出る	保留		確かめきれていない	r4b100001074a
136	異常系	戻るで二重に確定	1. 確定する\n2. 戻って、もう一度確定を押す	2 件目はできない	OK			r4b1000010941
137	空き検索	15 分刻みでない時刻	1. 開始を 10:07 にする\n2. 検索を押す	検索できず、15 分刻みだと出る	OK			r4b1000010b38
138	予約	最長 4 時間を超える（部屋の増設で見直し中のため控えにした）	1. 11:00〜16:00 を選ぶ\n2. 確定を押す	確定できず、最長 4 時間だと出る	OK			r4b1000010d2f
139	取り消し	開始した予約	1. 開始時刻を過ぎた予約を開く\n2. 取り消しを押す	取り消せず、理由が出る	NG	https://example.com/issues/338	直っていない	r4b1000010f26
140	繰り返し	上限を超える回数	1. 繰り返しに 90 回を入れる\n2. 確定を押す	作れず、上限 26 回だと出る	OK			r4b100001111d
141	表示端末	日付をまたぐ	1. 端末を開いたまま 0 時を越える	翌日の一覧に入れ替わる	保留		確かめきれていない	r4b1000011314
142	権限	一般の人が部屋を触る	1. 一般の権限で総務の画面を開く	開けない	OK			r4b100001150b
143	表示	画面が狭いとき	1. 窓を狭くする	表が横に転がせる。列が重ならない	OK			r4b1000011702
144	異常系	時計がずれた端末	1. 端末の時計を 12 分ずらす\n2. 予約する	サーバー側の時刻で判定される	未実施			r4b10000118f9
145	空き検索	終了が開始より前	1. 開始を 9:00、終了を 8:00 にする\n2. 検索を押す	検索できず、順序が逆だと出る	OK			r4b1000011af0
146	予約	同じ枠を 2 つの画面から	1. 2 つの画面で同じ枠を開く\n2. 続けて確定を押す	後から押した側だけが「先に取られました」になる	OK			r4b1000011ce7
147	取り消し	代理で取り消す	1. 総務の権限で他人の予約を開く\n2. 理由を入れて取り消す	取り消され、誰が取り消したかが残る	NG	https://example.com/issues/346	条件によっては通ってしまう	r4b1000011ede
148	繰り返し	まとめて取り消す	1. 繰り返しの 1 件を開く\n2. まとめて取り消しを選ぶ	同じまとまりの残り全部が取り消される	未実施		翌日まで待つ必要がある	r4b10000120d5
149	表示端末	通信が切れる	1. 端末の通信を切る\n2. 8 分待つ	「確認中」と出て、古い予定を出したままにしない	OK			r4b10000122cc
150	権限	貸し出さない時間帯を入れる	1. 清掃の時間帯を入れる\n2. 空き検索を開く	その時間帯は空きに出なくなる	保留		確かめきれていない	r4b10000124c3
151	表示	文字を大きくする	1. 表示の倍率を上げる	行の高さが揃ったまま大きくなる	OK			r4b10000126ba
152	異常系	同じ人が同じ時刻に 2 部屋	1. 同じ時刻に別の部屋を 2 件予約する	できる。人の重複は見ない	OK			r4b10000128b1
153	空き検索	空きが無い日	1. 全部埋まっている日を選ぶ\n2. 検索を押す	「空きがありません」と出て、前後の日を勧める	OK			r4b1000012aa8
154	予約	貸し出さない時間帯	1. 清掃で止めている時間帯を選ぶ\n2. 確定を押す	そもそも空きとして出ない	NG	https://example.com/issues/353	直っていない	r4b1000012c9f
155	取り消し	取り消した枠を取り直す	1. 取り消した直後に同じ枠を探す\n2. 確定を押す	空きとして出て、取り直せる	OK			r4b1000012e96
156	繰り返し	1 件だけ取り消す	1. 繰り返しの 1 件を開く\n2. この回だけ取り消しを選ぶ	その回だけ消え、残りは残る	保留		確かめきれていない	r4b100001308d
157	表示端末	端末の電池	1. 電池式の端末を 7 分放置する	総務の画面に残量が出る	OK			r4b1000013284
158	権限	既に予約がある時間帯を止める	1. 予約が入っている時間帯を止める	止められず、先に予約があると出る	OK			r4b100001347b
159	表示	暗い配色	1. 暗い配色に切り替える	色分けの意味が変わらず、文字が読める	未実施			r4b1000013672
160	異常系	長い理由	1. 取り消しの理由に全角 80 文字を入れる\n2. 取り消す	保存される。一覧では省いて出す	OK			r4b1000013869
161	空き検索	4 人で 16 時台を探す	1. 人数に 4 を入れる\n2. 16:00〜17:00 を選ぶ\n3. 検索を押す	定員 4 人以上で空いている部屋だけが出る	OK			r4b1000013a60
162	予約	17 時台を押さえる	1. 空き枠 17:00〜18:00 を選ぶ\n2. 会議の名前を入れる\n3. 確定を押す	予約番号が出て、自分の予約一覧に並ぶ	NG	https://example.com/issues/361	条件によっては通ってしまう	r4b1000013c57
163	取り消し	自分の予約を取り消す	1. 自分の予約を開く\n2. 取り消しを押す	一覧から消え、その枠が空きに戻る	未実施		翌日まで待つ必要がある	r4b1000013e4e
164	繰り返し	毎週 5 回	1. 繰り返しに毎週・5 回を選ぶ\n2. 確定を押す	5 件できて、まとめて一覧に出る	OK			r4b1000014045
165	表示端末	いま使われている部屋	1. 使用中の部屋の端末を見る	会議の名前と終わる時刻が出て、赤く光る	保留		確かめきれていない	r4b100001423c
166	権限	部屋を足す	1. 総務の画面で部屋を 1 つ足す\n2. 空き検索を開く	すぐに検索の対象になる	OK			r4b1000014433
167	表示	長い会議の名前	1. 全角 80 文字の名前で予約する\n2. 一覧を開く	一覧では折り返さず、末尾を省いて出す	OK			r4b100001462a
168	異常系	通信が切れたまま確定	1. 通信を切る\n2. 確定を押す	失敗が出る。押した内容は画面に残る	OK			r4b1000014821
169	空き検索	1 階で絞る	1. 階に 1 を入れる\n2. 検索を押す	1 階の部屋だけが出る。他の階は出ない	NG	https://example.com/issues/368	直っていない	r4b1000014a18
170	予約	会議の名前が空	1. 名前を入れずに確定を押す	確定できず、名前が要ると出る	OK			r4b1000014c0f
171	取り消し	他人の予約	1. 他人の予約を開く	取り消しの操作が出ない	保留		確かめきれていない	r4b1000014e06
